Acc. Nr.	specimen ID	Dep. Acc. Nr.	BOLD Process ID	COI-5P Accession	Institut
FSJF-501	500776	Ex02H3	GERFW079-13	KM286670	ZFMK
FSJF-770	500780	Ex02H7	GERFW080-13	KM286672	ZFMK
FSJF-770	500781	Ex02H8	GERFW081-13	KM286654	ZFMK
FSJF-100	500782	Ex02H9	GERFW082-13	KM287055	ZFMK
Ex20B11	502517	G71-73	GERFW083-13	KM286529	ZFMK
Ex20C2	502520	G76-82	GERFW084-13	KM286527	ZFMK
Ex20C3	502521	G76-82	GERFW085-13	KM286526	ZFMK
FSJF-26	503296	Ex28D6	GERFW086-13	KM287053	ZFMK
FSJF-771	503318	Ex28F4	GERFW087-13	KM287052	ZFMK
FSJF-771	503319	Ex28F5	GERFW088-13	KM287051	ZFMK
FSJF-1364	503354	Ex29A5	GERFW089-13	KM287129	ZFMK
FSJF-1395	503355	Ex29A6	GERFW090-13	KM286613	ZFMK
FSJF-1395	503356	Ex29A7	GERFW091-13	KM286612	ZFMK
FSJF-783	503395	Ex29D10	GERFW092-13	KM286504	ZFMK
FSJF-783	503396	Ex29D11	GERFW093-13	KM286505	ZFMK
FSJF-1651	503417	Ex29F8	GERFW094-13	KM287147	ZFMK
FSJF-785	503426	Ex29G5	GERFW095-13	KM287148	ZFMK
FSJF-779	503439	Ex29H6	GERFW096-13	KM286659	ZFMK
FSJF-779	503440	Ex29H7	GERFW097-13	KM286663	ZFMK
FSJF-1650	503445	Ex30A1	GERFW098-13	KM286781	ZFMK
FSJF-1650	503446	Ex30A2	GERFW099-13	KM286786	ZFMK
FSJF-773	503449	Ex30A5	GERFW100-13	KM286737	ZFMK
FSJF-773	503450	Ex30A6	GERFW101-13	KM286742	ZFMK
FSJF-DNA-1179	503474	Ex30C6	GERFW102-13	KM287146	ZFMK
FSJF-DNA-1179	503475	Ex30C7	GERFW103-13	KM287145	ZFMK
FSJF-DNA-754	503573	Ex31C10	GERFW104-13	KM286608	ZFMK
FSJF-DNA-755	503574	Ex31C11	GERFW105-13	KM286604	ZFMK
FSJF-DNA-758	503575	Ex31C12	GERFW106-13	KM286606	ZFMK
FSJF-DNA-759	503576	Ex31D1	GERFW107-13	KM286607	ZFMK
FSJF-DNA-760	503577	Ex31D2	GERFW108-13	KM286605	ZFMK
FSJF-1633	503578	Ex31D3	GERFW109-13	KM286589	ZFMK
FSJF-1633	503579	Ex31D4	GERFW110-13	KM286590	ZFMK
FSJF-1191	503716	Ex32G10	GERFW111-13	KM286524	ZFMK
FSJF-1215	503717	Ex32G11	GERFW112-13	KM286652	ZFMK
FSJF-1215	503718	Ex32G12	GERFW113-13	KM286647	ZFMK
FSJF-1692	503711	Ex32G5	GERFW114-13	KM287124	ZFMK
FSJF-1692	503712	Ex32G6	GERFW115-13	KM287125	ZFMK
FSJF-781	503713	Ex32G7	GERFW116-13	KM286512	ZFMK
FSJF-781	503714	Ex32G8	GERFW117-13	KM286519	ZFMK
FSJF-1191	503715	Ex32G9	GERFW118-13	KM286530	ZFMK
FSJF-1215	503719	Ex32H1	GERFW119-13	KM286650	ZFMK
FSJF-1835	503728	Ex32H10	GERFW120-13	KM286503	ZFMK
FSJF-1835	503729	Ex32H11	GERFW121-13	KM286502	ZFMK
FSJF-1218	503720	Ex32H2	GERFW122-13	KM286721	ZFMK
FSJF-1218	503721	Ex32H3	GERFW123-13	KM286725	ZFMK
FSJF-1218	503722	Ex32H4	GERFW124-13	KM286726	ZFMK
FSJF-1703	503723	Ex32H5	GERFW125-13	KM287070	ZFMK
FSJF-1834	503726	Ex32H8	GERFW126-13	KM287164	ZFMK
FSJF-1834	503727	Ex32H9	GERFW127-13	KM287163	ZFMK
FSJF-1904	503732	Ex33A3	GERFW128-13	KM286691	ZFMK
FSJF-1904	503733	Ex33A4	GERFW129-13	KM286690	ZFMK
FSJF-2089	503774	Ex33D9	GERFW130-13	KM286434	ZFMK
FSJF-1247	503789	Ex33E12	GERFW131-13	KM286614	ZFMK
ZFMK-ICH-55694	503780	Ex33E3	GERFW132-13	KM286621	ZFMK
ZFMK-ICH-55695	503781	Ex33E4	GERFW133-13	KM286622	ZFMK
ZFMK-ICH-55696	503782	Ex33E5	GERFW134-13	KM286623	ZFMK
FSJF-1247	503790	Ex33F1	GERFW135-13	KM286615	ZFMK
FSJF-1247	503791	Ex33F2	GERFW136-13	KM286616	ZFMK
Ex33G5	503806	4277-94	GERFW137-13	KM286479	ZFMK
Ex33G6	503807	4277-94	GERFW138-13	KM286485	ZFMK
Ex37A10	504119	ChF4	GERFW139-13	KM286603	ZFMK
Ex37A11	504120	ChF5	GERFW140-13	KM286602	ZFMK
Ex37A12	504121	ChF6	GERFW141-13	KM286601	ZFMK
Ex37A7	504116	ChF1	GERFW142-13	KM286598	ZFMK
Ex37A8	504117	ChF2	GERFW143-13	KM286600	ZFMK
Ex37A9	504118	ChF3	GERFW144-13	KM286599	ZFMK
ZFMK-ICH-55717	504124	Ex37B3	GERFW145-13	KM287169	ZFMK
ZFMK-ICH-55718	504125	Ex37B4	GERFW146-13	KM287168	ZFMK
ZFMK-ICH-55719	504126	Ex37B5	GERFW147-13	KM287173	ZFMK
ZFMK-ICH-55720	504127	Ex37B6	GERFW148-13	KM287172	ZFMK
ZFMK-ICH-55721	504128	Ex37B7	GERFW149-13	KM287171	ZFMK
ZFMK-ICH-55722	504129	Ex37B8	GERFW150-13	KM287170	ZFMK
FSJF-2098	504372	Ex39G1	GERFW151-13	KM286695	ZFMK
ZFMK-ICH-51089	504547	Ex41E10	GERFW152-13	KM286453	ZFMK
ZFMK-ICH-51090	504548	Ex41E11	GERFW153-13	KM286452	ZFMK
ZFMK-ICH-51230	504559	Ex41F10	GERFW155-13	KM286460	ZFMK
ZFMK-ICH-51231	504560	Ex41F11	GERFW156-13	KM286461	ZFMK
ZFMK-ICH-51234	504561	Ex41F12	GERFW157-13	KM286419	ZFMK
ZFMK-ICH-51148	504552	Ex41F3	GERFW159-13	KM286429	ZFMK
ZFMK-ICH-51229	504558	Ex41F9	GERFW160-13	KM286462	ZFMK
ZFMK-ICH-51235	504562	Ex41G1	GERFW161-13	KM286417	ZFMK
ZFMK-ICH-51236	504563	Ex41G2	GERFW162-13	KM286412	ZFMK
ZFMK-ICH-51267	504564	Ex41G3	GERFW163-13	KM287121	ZFMK
ZFMK-ICH-51268	504565	Ex41G4	GERFW164-13	KM287123	ZFMK
ZFMK-ICH-51269	504566	Ex41G5	GERFW165-13	KM287122	ZFMK
ZFMK-ICH-51276	504567	Ex41G6	GERFW166-13	KM286770	ZFMK
ZFMK-ICH-51277	504568	Ex41G7	GERFW167-13	KM286771	ZFMK
ZFMK-ICH-55688	504577	Ex41H4	GERFW168-13	KM286449	ZFMK
ZFMK-ICH-55689	504578	Ex41H5	GERFW169-13	KM286448	ZFMK
FSJF-96	504631	Ex42D11	GERFW170-13	KM286692	ZFMK
FSJF-96	504632	Ex42D12	GERFW171-13	KM286693	ZFMK
FSJF-1696	504642	Ex42E10	GERFW172-13	KM286680	ZFMK
FSJF-1696	504641	Ex42E9	GERFW173-13	KM286681	ZFMK
FSJF-1560	504658	Ex42G2	GERFW174-13	KM286617	ZFMK
FSJF-1560	504659	Ex42G3	GERFW175-13	KM286618	ZFMK
FSJF-1831	504671	Ex42H3	GERFW176-13	KM286727	ZFMK
FSJF-1831	504672	Ex42H4	GERFW177-13	KM286728	ZFMK
FSJF-1831	504673	Ex42H5	GERFW178-13	KM286720	ZFMK
ZFMK-ICH-51046	504681	Ex43A2	GERFW179-13	KM286458	ZFMK
FSJF-1697	504684	Ex43A5	GERFW180-13	KM286686	ZFMK
FSJF-1697	504685	Ex43A6	GERFW181-13	KM286687	ZFMK
FSJF-1697	504686	Ex43A7	GERFW182-13	KM286688	ZFMK
ZFMK-ICH-50057	504965	Ex46A1	GERFW183-13	KM286766	ZFMK
ZFMK-ICH-50058	504966	Ex46A2	GERFW184-13	KM286769	ZFMK
ZFMK-ICH-50059	504967	Ex46A3	GERFW185-13	KM286768	ZFMK
ZFMK-ICH-50061	504968	Ex46A4	GERFW186-13	KM286767	ZFMK
ZFMK-ICH-50064	504969	Ex46A5	GERFW187-13	KM287037	ZFMK
ZFMK-ICH-50065	504970	Ex46A6	GERFW188-13	KM287036	ZFMK
ZFMK-ICH-50066	504971	Ex46A7	GERFW189-13	KM287035	ZFMK
ZFMK-ICH-51074	504986	Ex46B10	GERFW190-13	KM286759	ZFMK
ZFMK-ICH-51075	504987	Ex46B11	GERFW191-13	KM286757	ZFMK
ZFMK-ICH-51076	504988	Ex46B12	GERFW192-13	KM286756	ZFMK
ZFMK-ICH-51050	504982	Ex46B6	GERFW193-13	KM286778	ZFMK
ZFMK-ICH-51052	504984	Ex46B8	GERFW194-13	KM286780	ZFMK
ZFMK-ICH-51077	504989	Ex46C1	GERFW195-13	KM286758	ZFMK
ZFMK-ICH-51110	504998	Ex46C10	GERFW196-13	KM286785	ZFMK
ZFMK-ICH-51111	504999	Ex46C11	GERFW197-13	KM286787	ZFMK
ZFMK-ICH-51112	505000	Ex46C12	GERFW198-13	KM286788	ZFMK
ZFMK-ICH-51081	504991	Ex46C3	GERFW199-13	KM286735	ZFMK
ZFMK-ICH-51082	504992	Ex46C4	GERFW200-13	KM286734	ZFMK
ZFMK-ICH-51109	504997	Ex46C9	GERFW201-13	KM286789	ZFMK
ZFMK-ICH-51186	505012	Ex46D12	GERFW202-13	KM286700	ZFMK
ZFMK-ICH-51129	505004	Ex46D4	GERFW203-13	KM286521	ZFMK
ZFMK-ICH-51130	505005	Ex46D5	GERFW204-13	KM286522	ZFMK
ZFMK-ICH-51131	505006	Ex46D6	GERFW205-13	KM286513	ZFMK
ZFMK-ICH-51132	505007	Ex46D7	GERFW206-13	KM286517	ZFMK
ZFMK-ICH-51133	505008	Ex46D8	GERFW207-13	KM286518	ZFMK
ZFMK-ICH-51250	505014	Ex46E2	GERFW208-13	KM287027	ZFMK
ZFMK-ICH-51251	505015	Ex46E3	GERFW209-13	KM287028	ZFMK
ZFMK-ICH-51252	505016	Ex46E4	GERFW210-13	KM287030	ZFMK
ZFMK-ICH-51253	505017	Ex46E5	GERFW211-13	KM287029	ZFMK
ZFMK-ICH-51287	505018	Ex46E6	GERFW212-13	KM287090	ZFMK
ZFMK-ICH-51288	505019	Ex46E7	GERFW213-13	KM287089	ZFMK
ZFMK-ICH-51304	505026	Ex46F2	GERFW214-13	KM286506	ZFMK
ZFMK-ICH-51305	505027	Ex46F3	GERFW215-13	KM286507	ZFMK
ZFMK-ICH-51306	505028	Ex46F4	GERFW216-13	KM286508	ZFMK
ZFMK-ICH-51307	505029	Ex46F5	GERFW217-13	KM286510	ZFMK
ZFMK-ICH-51308	505030	Ex46F6	GERFW218-13	KM286516	ZFMK
ZFMK-ICH-51320	505031	Ex46F7	GERFW219-13	KM286736	ZFMK
ZFMK-ICH-51321	505032	Ex46F8	GERFW220-13	KM286731	ZFMK
ZFMK-ICH-51322	505033	Ex46F9	GERFW221-13	KM286732	ZFMK
ZFMK-ICH-55706	505051	Ex46H3	GERFW222-13	KM286774	ZFMK
ZFMK-ICH-55707	505052	Ex46H4	GERFW223-13	KM286775	ZFMK
ZFMK-ICH-55708	505053	Ex46H5	GERFW224-13	KM286773	ZFMK
ZFMK-ICH-55709	505054	Ex46H6	GERFW225-13	KM286776	ZFMK
ZFMK-ICH-55710	505055	Ex46H7	GERFW226-13	KM286772	ZFMK
ZFMK-ICH-51148	505487	Ex51D12	GERFW227-13	KM286430	ZFMK
ZFMK-ICH-51149	505488	Ex51E1	GERFW228-13	KM286421	ZFMK
ZFMK-ICH-51342	505497	Ex51E10	GERFW229-13	KM286871	ZFMK
ZFMK-ICH-51343	505498	Ex51E11	GERFW230-13	KM286872	ZFMK
ZFMK-ICH-51352	505499	Ex51E12	GERFW231-13	KM286873	ZFMK
ZFMK-ICH-51333	505490	Ex51E3	GERFW232-13	KM287113	ZFMK
ZFMK-ICH-51341	505496	Ex51E9	GERFW233-13	KM286874	ZFMK
ZFMK-ICH-51353	505500	Ex51F1	GERFW234-13	KM286875	ZFMK
ZFMK-ICH-51354	505501	Ex51F2	GERFW235-13	KM286876	ZFMK
ZFMK-ICH-51359	505502	Ex51F3	GERFW236-13	KM286487	ZFMK
ZFMK-ICH-51360	505503	Ex51F4	GERFW237-13	KM286478	ZFMK
ZFMK-ICH-51361	505504	Ex51F5	GERFW238-13	KM286466	ZFMK
ZFMK-ICH-53013	505534	Ex51H11	GERFW239-13	KM286450	ZFMK
ZFMK-ICH-53008	505526	Ex51H3	GERFW240-13	KM287031	ZFMK
ZFMK-ICH-53009	505527	Ex51H4	GERFW241-13	KM287034	ZFMK
ZFMK-ICH-53010	505528	Ex51H5	GERFW242-13	KM287033	ZFMK
ZFMK-ICH-53011	505529	Ex51H6	GERFW243-13	KM287032	ZFMK
ZFMK-ICH-51410	505535	Ex52A1	GERFW244-13	KM286424	ZFMK
ZFMK-ICH-53020	505654	Ex53C1	GERFW245-13	KM286525	ZFMK
ZFMK-ICH-53038	505663	Ex53C10	GERFW246-13	KM286481	ZFMK
ZFMK-ICH-53039	505664	Ex53C11	GERFW247-13	KM286482	ZFMK
ZFMK-ICH-53040	505665	Ex53C12	GERFW248-13	KM286877	ZFMK
ZFMK-ICH-53021	505655	Ex53C2	GERFW249-13	KM286531	ZFMK
ZFMK-ICH-53022	505656	Ex53C3	GERFW250-13	KM286528	ZFMK
ZFMK-ICH-53023	505657	Ex53C4	GERFW251-13	KM286523	ZFMK
ZFMK-ICH-53033	505658	Ex53C5	GERFW252-13	KM286435	ZFMK
ZFMK-ICH-53034	505659	Ex53C6	GERFW253-13	KM286433	ZFMK
ZFMK-ICH-53035	505660	Ex53C7	GERFW254-13	KM286762	ZFMK
ZFMK-ICH-53036	505661	Ex53C8	GERFW255-13	KM286468	ZFMK
ZFMK-ICH-53037	505662	Ex53C9	GERFW256-13	KM286469	ZFMK
ZFMK-ICH-53041	505666	Ex53D1	GERFW257-13	KM286878	ZFMK
ZFMK-ICH-53053	505675	Ex53D10	GERFW258-13	KM287041	ZFMK
ZFMK-ICH-53054	505676	Ex53D11	GERFW259-13	KM287040	ZFMK
ZFMK-ICH-53055	505677	Ex53D12	GERFW260-13	KM287039	ZFMK
ZFMK-ICH-53042	505667	Ex53D2	GERFW261-13	KM286879	ZFMK
ZFMK-ICH-53043	505668	Ex53D3	GERFW262-13	KM286880	ZFMK
ZFMK-ICH-53044	505669	Ex53D4	GERFW263-13	KM286881	ZFMK
ZFMK-ICH-53048	505670	Ex53D5	GERFW264-13	KM286498	ZFMK
ZFMK-ICH-53049	505671	Ex53D6	GERFW265-13	KM286497	ZFMK
ZFMK-ICH-53050	505672	Ex53D7	GERFW266-13	KM286496	ZFMK
ZFMK-ICH-53051	505673	Ex53D8	GERFW267-13	KM286495	ZFMK
ZFMK-ICH-53052	505674	Ex53D9	GERFW268-13	KM286488	ZFMK
ZFMK-ICH-53056	505678	Ex53E1	GERFW269-13	KM287042	ZFMK
ZFMK-ICH-53061	505679	Ex53E2	GERFW270-13	KM286760	ZFMK
ZFMK-ICH-53062	505680	Ex53E3	GERFW271-13	KM286761	ZFMK
ZFMK-ICH-53063	505681	Ex53E4	GERFW272-13	KM286754	ZFMK
ZFMK-ICH-53064	505682	Ex53E5	GERFW273-13	KM286755	ZFMK
ZFMK-ICH-53066	505683	Ex53E6	GERFW274-13	KM286643	ZFMK
ZFMK-ICH-53067	505684	Ex53E7	GERFW275-13	KM286642	ZFMK
ZFMK-ICH-53068	505685	Ex53E8	GERFW276-13	KM286641	ZFMK
ZFMK-ICH-53069	505686	Ex53E9	GERFW277-13	KM286640	ZFMK
ZFMK-ICH-53343	505986	Ex56F12	GERFW278-13	KM287043	ZFMK
ZFMK-ICH-53344	505987	Ex56G1	GERFW279-13	KM287044	ZFMK
ZFMK-ICH-53345	505988	Ex56G2	GERFW280-13	KM287045	ZFMK
ZFMK-ICH-53568	506466	Ex61WH21G5	GERFW281-13	KM287046	ZFMK
ZFMK-ICH-53569	506467	Ex61WH21G6	GERFW282-13	KM287048	ZFMK
ZFMK-ICH-53570	506468	Ex61WH21G7	GERFW283-13	KM287047	ZFMK
ZFMK-ICH-54788	507910	Ex76H10	GERFW284-13	KM286763	ZFMK
ZFMK-ICH-54786	507908	Ex76H8	GERFW285-13	KM286764	ZFMK
ZFMK-ICH-54787	507909	Ex76H9	GERFW286-13	KM286765	ZFMK
ZFMK-ICH-52116	508317	Ex81C10	GERFW287-13	KM286501	ZFMK
ZFMK-ICH-52117	508318	Ex81C11	GERFW288-13	KM286637	ZFMK
ZFMK-ICH-52118	508319	Ex81C12	GERFW289-13	KM286636	ZFMK
ZFMK-ICH-52116	508316	Ex81C9	GERFW290-13	KM286500	ZFMK
ZFMK-ICH-52611	508320	Ex81D1	GERFW291-13	KM286425	ZFMK
ZFMK-ICH-58494	508329	Ex81D10	GERFW292-13	KM286724	ZFMK
ZFMK-ICH-58495	508330	Ex81D11	GERFW293-13	KM286723	ZFMK
ZFMK-ICH-58496	508331	Ex81D12	GERFW294-13	KM286722	ZFMK
ZFMK-ICH-52612	508321	Ex81D2	GERFW295-13	KM286423	ZFMK
ZFMK-ICH-52613	508322	Ex81D3	GERFW296-13	KM286420	ZFMK
ZFMK-ICH-52614	508323	Ex81D4	GERFW297-13	KM286422	ZFMK
ZFMK-ICH-58553	508332	Ex81E1	GERFW298-13	KM286743	ZFMK
ZFMK-ICH-58562	508341	Ex81E10	GERFW299-13	KM287059	ZFMK
ZFMK-ICH-58563	508342	Ex81E11	GERFW300-13	KM286709	ZFMK
ZFMK-ICH-58564	508343	Ex81E12	GERFW301-13	KM286710	ZFMK
ZFMK-ICH-58554	508333	Ex81E2	GERFW302-13	KM286745	ZFMK
ZFMK-ICH-58555	508334	Ex81E3	GERFW303-13	KM286746	ZFMK
ZFMK-ICH-58556	508335	Ex81E4	GERFW304-13	KM286747	ZFMK
ZFMK-ICH-58557	508336	Ex81E5	GERFW305-13	KM286748	ZFMK
ZFMK-ICH-58558	508337	Ex81E6	GERFW306-13	KM286749	ZFMK
ZFMK-ICH-58559	508338	Ex81E7	GERFW307-13	KM286750	ZFMK
ZFMK-ICH-58560	508339	Ex81E8	GERFW308-13	KM286744	ZFMK
ZFMK-ICH-58561	508340	Ex81E9	GERFW309-13	KM286520	ZFMK
ZFMK-ICH-58565	508344	Ex81F1	GERFW310-13	KM286800	ZFMK
ZFMK-ICH-58575	508353	Ex81F10	GERFW311-13	KM286715	ZFMK
ZFMK-ICH-58576	508354	Ex81F11	GERFW312-13	KM286716	ZFMK
ZFMK-ICH-58577	508355	Ex81F12	GERFW313-13	KM286718	ZFMK
ZFMK-ICH-58567	508345	Ex81F2	GERFW314-13	KM287058	ZFMK
ZFMK-ICH-58566	508346	Ex81F3	GERFW315-13	KM287069	ZFMK
ZFMK-ICH-58568	508347	Ex81F4	GERFW316-13	KM287068	ZFMK
ZFMK-ICH-58570	508348	Ex81F5	GERFW317-13	KM286711	ZFMK
ZFMK-ICH-58571	508349	Ex81F6	GERFW318-13	KM286712	ZFMK
ZFMK-ICH-58573	508351	Ex81F8	GERFW319-13	KM286713	ZFMK
ZFMK-ICH-58574	508352	Ex81F9	GERFW320-13	KM286719	ZFMK
ZFMK-ICH-58578	508356	Ex81G1	GERFW321-13	KM286714	ZFMK
ZFMK-ICH-58579	508357	Ex81G2	GERFW322-13	KM286717	ZFMK
ZFMK-ICH-58580	508358	Ex81G3	GERFW323-13	KM286802	ZFMK
ZFMK-ICH-58581	508359	Ex81G4	GERFW324-13	KM286798	ZFMK
ZFMK-ICH-58582	508360	Ex81G5	GERFW325-13	KM286795	ZFMK
ZFMK-ICH-58583	508361	Ex81G6	GERFW326-13	KM286796	ZFMK
ZFMK-ICH-58584	508362	Ex81G7	GERFW327-13	KM286797	ZFMK
ZFMK-ICH-58585	508363	Ex81G8	GERFW328-13	KM286801	ZFMK
ZFMK-ICH-58586	508364	Ex81G9	GERFW329-13	KM286799	ZFMK
ZFMK-ICH-49976	508369	Ex81H2	GERFW330-13	KM287050	ZFMK
ZFMK-ICH-49977	508370	Ex81H3	GERFW331-13	KM287054	ZFMK
ZFMK-ICH-49979	508372	Ex81H5	GERFW332-13	KM287056	ZFMK
ZFMK-ICH-58001	511693	SCEx01A1	GERFW333-13	KM286499	ZFMK
ZFMK-ICH-58010	511702	SCEx01A10	GERFW334-13	KM286739	ZFMK
ZFMK-ICH-58011	511703	SCEx01A11	GERFW335-13	KM287104	ZFMK
ZFMK-ICH-58012	511704	SCEx01A12	GERFW336-13	KM286791	ZFMK
ZFMK-ICH-58002	511694	SCEx01A2	GERFW337-13	KM286661	ZFMK
ZFMK-ICH-58004	511696	SCEx01A4	GERFW338-13	KM287131	ZFMK
ZFMK-ICH-58005	511697	SCEx01A5	GERFW339-13	KM287134	ZFMK
ZFMK-ICH-58006	511698	SCEx01A6	GERFW340-13	KM287135	ZFMK
ZFMK-ICH-58007	511699	SCEx01A7	GERFW341-13	KM287132	ZFMK
ZFMK-ICH-58008	511700	SCEx01A8	GERFW342-13	KM287150	ZFMK
ZFMK-ICH-58009	511701	SCEx01A9	GERFW343-13	KM287149	ZFMK
ZFMK-ICH-58013	511705	SCEx01B1	GERFW344-13	KM286738	ZFMK
ZFMK-ICH-58023	511715	SCEx01B11	GERFW345-13	KM286792	ZFMK
ZFMK-ICH-58014	511706	SCEx01B2	GERFW346-13	KM286662	ZFMK
ZFMK-ICH-58015	511707	SCEx01B3	GERFW347-13	KM286664	ZFMK
ZFMK-ICH-58018	511710	SCEx01B6	GERFW348-13	KM286665	ZFMK
ZFMK-ICH-58019	511711	SCEx01B7	GERFW349-13	KM286666	ZFMK
ZFMK-ICH-58020	511712	SCEx01B8	GERFW350-13	KM286667	ZFMK
ZFMK-ICH-58021	511713	SCEx01B9	GERFW351-13	KM286668	ZFMK
ZFMK-ICH-58025	511717	SCEx01C1	GERFW352-13	KM286783	ZFMK
ZFMK-ICH-58034	511726	SCEx01C10	GERFW353-13	KM287137	ZFMK
ZFMK-ICH-58035	511727	SCEx01C11	GERFW354-13	KM286514	ZFMK
ZFMK-ICH-58036	511728	SCEx01C12	GERFW355-13	KM287139	ZFMK
ZFMK-ICH-58026	511718	SCEx01C2	GERFW356-13	KM287136	ZFMK
ZFMK-ICH-58027	511719	SCEx01C3	GERFW357-13	KM286733	ZFMK
ZFMK-ICH-58028	511720	SCEx01C4	GERFW358-13	KM286777	ZFMK
ZFMK-ICH-58031	511723	SCEx01C7	GERFW359-13	KM286689	ZFMK
ZFMK-ICH-58033	511725	SCEx01C9	GERFW360-13	KM286660	ZFMK
ZFMK-ICH-58037	511729	SCEx01D1	GERFW361-13	KM287133	ZFMK
ZFMK-ICH-58046	511738	SCEx01D10	GERFW362-13	KM286489	ZFMK
ZFMK-ICH-58047	511739	SCEx01D11	GERFW363-13	KM286490	ZFMK
ZFMK-ICH-58048	511740	SCEx01D12	GERFW364-13	KM286491	ZFMK
ZFMK-ICH-58038	511730	SCEx01D2	GERFW365-13	KM286638	ZFMK
ZFMK-ICH-58039	511731	SCEx01D3	GERFW366-13	KM286413	ZFMK
ZFMK-ICH-58040	511732	SCEx01D4	GERFW367-13	KM286414	ZFMK
ZFMK-ICH-58041	511733	SCEx01D5	GERFW368-13	KM286415	ZFMK
ZFMK-ICH-58042	511734	SCEx01D6	GERFW369-13	KM286416	ZFMK
ZFMK-ICH-58043	511735	SCEx01D7	GERFW370-13	KM286511	ZFMK
ZFMK-ICH-58045	511737	SCEx01D9	GERFW371-13	KM286494	ZFMK
ZFMK-ICH-58049	511741	SCEx01E1	GERFW372-13	KM286454	ZFMK
ZFMK-ICH-58250	511750	SCEx01E10	GERFW373-13	KM287157	ZFMK
ZFMK-ICH-58255	511751	SCEx01E11	GERFW374-13	KM286651	ZFMK
ZFMK-ICH-58260	511752	SCEx01E12	GERFW375-13	KM286648	ZFMK
ZFMK-ICH-58050	511742	SCEx01E2	GERFW376-13	KM286455	ZFMK
ZFMK-ICH-58052	511744	SCEx01E4	GERFW377-13	KM286682	ZFMK
ZFMK-ICH-58053	511745	SCEx01E5	GERFW378-13	KM286684	ZFMK
ZFMK-ICH-58056	511748	SCEx01E8	GERFW379-13	KM286685	ZFMK
ZFMK-ICH-58251	511749	SCEx01E9	GERFW380-13	KM287153	ZFMK
ZFMK-ICH-58268	511753	SCEx01F1	GERFW381-13	KM286639	ZFMK
ZFMK-ICH-58279	511762	SCEx01F10	GERFW382-13	KM287086	ZFMK
ZFMK-ICH-58280	511763	SCEx01F11	GERFW383-13	KM287085	ZFMK
ZFMK-ICH-58281	511764	SCEx01F12	GERFW384-13	KM287083	ZFMK
ZFMK-ICH-58271	511755	SCEx01F3	GERFW385-13	KM287082	ZFMK
ZFMK-ICH-58273	511757	SCEx01F5	GERFW386-13	KM287102	ZFMK
ZFMK-ICH-58274	511758	SCEx01F6	GERFW387-13	KM287103	ZFMK
ZFMK-ICH-58275	511759	SCEx01F7	GERFW388-13	KM286729	ZFMK
ZFMK-ICH-58276	511760	SCEx01F8	GERFW389-13	KM287081	ZFMK
ZFMK-ICH-58282	511761	SCEx01F9	GERFW390-13	KM287080	ZFMK
ZFMK-ICH-58299	511775	SCEx01G11	GERFW391-13	KM287106	ZFMK
ZFMK-ICH-58300	511776	SCEx01G12	GERFW392-13	KM287100	ZFMK
ZFMK-ICH-58288	511766	SCEx01G2	GERFW393-13	KM286882	ZFMK
ZFMK-ICH-58289	511767	SCEx01G3	GERFW394-13	KM287115	ZFMK
ZFMK-ICH-58290	511768	SCEx01G4	GERFW395-13	KM287098	ZFMK
ZFMK-ICH-58291	511769	SCEx01G5	GERFW396-13	KM287097	ZFMK
ZFMK-ICH-58295	511770	SCEx01G6	GERFW397-13	KM287072	ZFMK
ZFMK-ICH-58296	511771	SCEx01G7	GERFW398-13	KM287073	ZFMK
ZFMK-ICH-58297	511772	SCEx01G8	GERFW399-13	KM287074	ZFMK
ZFMK-ICH-58298	511773	SCEx01G9	GERFW400-13	KM287075	ZFMK
ZFMK-ICH-58301	511777	SCEx01H1	GERFW401-13	KM287096	ZFMK
ZFMK-ICH-58318	511786	SCEx01H10	GERFW402-13	KM286883	ZFMK
ZFMK-ICH-58326	511787	SCEx01H11	GERFW403-13	KM286884	ZFMK
ZFMK-ICH-58303	511779	SCEx01H3	GERFW404-13	KM287094	ZFMK
ZFMK-ICH-58304	511780	SCEx01H4	GERFW405-13	KM287112	ZFMK
ZFMK-ICH-58305	511781	SCEx01H5	GERFW406-13	KM287110	ZFMK
ZFMK-ICH-58306	511782	SCEx01H6	GERFW407-13	KM287109	ZFMK
ZFMK-ICH-58307	511783	SCEx01H7	GERFW408-13	KM287107	ZFMK
ZFMK-ICH-58308	511784	SCEx01H8	GERFW409-13	KM286885	ZFMK
ZFMK-ICH-58313	511785	SCEx01H9	GERFW410-13	KM286886	ZFMK
ZFMK-ICH-58066	511797	SCEx02A10	GERFW411-13	KM287143	ZFMK
ZFMK-ICH-58067	511798	SCEx02A11	GERFW412-13	KM286431	ZFMK
ZFMK-ICH-58058	511789	SCEx02A2	GERFW413-13	KM287105	ZFMK
ZFMK-ICH-58059	511790	SCEx02A3	GERFW414-13	KM287076	ZFMK
ZFMK-ICH-58060	511791	SCEx02A4	GERFW415-13	KM287077	ZFMK
ZFMK-ICH-58061	511792	SCEx02A5	GERFW416-13	KM287078	ZFMK
ZFMK-ICH-58062	511793	SCEx02A6	GERFW417-13	KM287079	ZFMK
ZFMK-ICH-58063	511794	SCEx02A7	GERFW418-13	KM286741	ZFMK
ZFMK-ICH-58064	511795	SCEx02A8	GERFW419-13	KM286740	ZFMK
