Catalog Nr.	Type status	Order	Family	Genus Name	Species Name	Author	Date descr.	Determined by	Date det.	Country	Locality	Lat	Long	Lat_dec	Long_dec	coord_uncertainty_flag	Ecology	Altitude	Depth	Date	Collector	Collectors	Specimens	Notes	Host	last modified
ZFMK Cr00027		Amphipoda	Corophiidae	Ampithoe	riedli(?)					Greece	Kreta O	~ 35.09	~ 24.88	35,09	24,88	ca.	Küste				Collector27	Collector27		Corallina + Schwämme(?)	Corallina + Schwämme(?)	31.iii.2015
ZFMK Cr00028		Amphipoda	Corophiidae	Gammaropsis	crenulata	Krapp-Schickel & Myers	1980			Greece	Kreta O	~ 35.09	~ 24.88	35,09	24,88	ca.				1976	Collector28	Collector28		auf Cystoseira	Cystoseira	31.iii.2015
ZFMK Cr00029		Amphipoda	Gammaridae	Stenothoe	monoculoides	Montagu	1815			Greece	Kreta SO	~ 35.09	~ 24.88	35,09	24,88	ca.					Collector29	Collector29		auf Cystoseira	Cystoseira	31.iii.2015
ZFMK Cr00030		Amphipoda	Gammaridae	Maera	grossimana	Montagu	1808			Italy	Ischia, St. Anna, G.v. Napoli						Geröll, Kies				Collector30	Collector30				31.iii.2015
ZFMK Cr00031		Amphipoda	Gammaridae	Melita	bulla	Karaman	1978			Italy	Ischia, G. v. Napoli										Collector31	Collector31		Amphiottussand (?)		31.iii.2015
ZFMK Cr00032		Amphipoda	Gammaridae	Maera	inaequipes	Costa	1857			Italy	Ischia, Pasidonia, ganginni, Menina										Collector32	Collector32				31.iii.2015
ZFMK Cr00033		Amphipoda	Gammaridae	Gammarella	fucicola	Leach	1814			Italy	Ischia-ponte, G. v. Napoli						Algen				Collector33	Collector33				31.iii.2015
ZFMK Cr00034		Amphipoda	Gammaridae	Melita	bulla	Karaman	1978			Italy	Ischia, G. v. Napoli										Collector34	Collector34		Amphiottussand (?)		31.iii.2015
ZFMK Cr00035		Amphipoda	Gammaridae	Elasmopus	pocillimanus	Bate	1862			Italy	Ischia-ponte, G. v. Napoli										Collector35	Collector35		auf Cystoseira	Cystoseira	31.iii.2015
ZFMK Cr00036		Amphipoda	Gammaridae	Melita	bulla	Karaman	1978			Italy	Ischia, Maronti, G.v. Napoli						Kies + Grobsand				Collector36	Collector36				31.iii.2015
ZFMK Cr00037		Amphipoda	Gammaridae	Melita	bulla	Karaman	1978			Italy	Ischia, G. v. Napoli										Collector37	Collector37		Amphiottussand (?)		31.iii.2015
ZFMK Cr00038		Amphipoda	Gammaridae	Elasmopus	pocillimanus	Bate	1862			Italy	Ischia, St. Anna, G.v. Napoli						Geröll, Kies				Collector38	Collector38				31.iii.2015
ZFMK Cr00039		Amphipoda	Gammaridae	Melita	bulla	Karaman	1978			Italy	Ischia, Maronti, G.v. Napoli						Kies + Grobsand				Collector39	Collector39				31.iii.2015
ZFMK Cr00040		Amphipoda	Gammaridae	Melita	bulla	Karaman	1978			Italy	Ischia, Maronti, G.v. Napoli						Kies + Grobsand				Collector40	Collector40		Kasamay(?)		31.iii.2015
ZFMK Cr00041		Amphipoda	Gammaridae	Maera	inaequipes	Costa	1857			Italy	Ischia										Collector41	Collector41		Posidonia gerufissi, Messina	Posidonia gerufissi, Messina	31.iii.2015
ZFMK Cr00042		Amphipoda	Gammaridae	Melita	bulla	Karaman	1978			Italy	Ischia, Maronti, G.v. Napoli						Kies + Grobsand				Collector42	Collector42				31.iii.2015
ZFMK Cr00043		Amphipoda	Gammaridae	Maera	inaequipes	Costa	1857			Italy	Ischia										Collector43	Collector43		Posidonia gerufissi, Messina	Posidonia gerufissi, Messina	31.iii.2015
ZFMK Cr00044		Amphipoda	Gammaridae	Melita	bulla	Karaman	1978			Italy	Ischia, Maronti, G.v. Napoli										Collector44	Collector44		Amphiottussand (?)		31.iii.2015
ZFMK Cr00045		Amphipoda	Gammaridae	Melita	bulla	Karaman	1978			Italy	Ischia, Maronti, G.v. Napoli										Collector45	Collector45		Amphiottussand (?)		31.iii.2015
ZFMK Cr00046		Amphipoda	Gammaridae	Gammarus	crinicornis	Stock	1966			Spain	Hotel Foriada Roquetas d. mare						Seegras angespült				Collector46	Collector46				31.iii.2015
ZFMK Cr00047		Amphipoda	Gammaridae	Melita	bulla	Karaman	1978			Italy	Ischia, Maronti, G.v. Napoli						Kies + Grobsand				Collector47	Collector47				31.iii.2015
ZFMK Cr00048		Amphipoda	Gammaridae	Melita	bulla	Karaman	1978			Italy	Ischia, Maronti, G.v. Napoli						Kies + Grobsand				Collector48	Collector48				31.iii.2015
ZFMK Cr00049		Amphipoda	Gammaridae	Melita	bulla	Karaman	1978			Italy	Ischia, Maronti, G.v. Napoli						Kies + Grobsand				Collector49	Collector49				31.iii.2015
ZFMK Cr00050		Amphipoda	Gammaridae	Melita	bulla	Karaman	1978			Italy	Ischia										Collector50	Collector50		Amphiottussand (?)		31.iii.2015
ZFMK Cr00051		Amphipoda	Gammaridae	Gammarella	fucicola	Leach	1814			Italy	Ischia-ponte, G. v. Napoli						Algen				Collector51	Collector51				31.iii.2015
ZFMK Cr00052		Amphipoda	Gammaridae	Gammarella	fucicola	Leach	1814			Italy	Ischia-ponte, G. v. Napoli						Algen				Collector52	Collector52				31.iii.2015
ZFMK Cr00053		Amphipoda	Gammaridae	Maera	inaequipes	Costa	1857			Italy	Sicilia, Messina						Oberflächliche Algen				Collector53	Collector53				31.iii.2015
ZFMK Cr00054		Amphipoda	Gammaridae	Gammarus	crinicornis	Stock	1966			Spain	Hotel Foriada Roquetas d. mare						Seegras angespült			14.viii.1986	Collector54	Collector54				31.iii.2015
ZFMK Cr00055		Amphipoda	Gammaridae	Gammarus	crinicornis	Stock	1966			Spain	Hotel Foriada Roquetas d. mare						Seegras angespült			14.viii.1986	Collector55	Collector55				31.iii.2015
ZFMK Cr00056		Amphipoda	Gammaridae	Elasmopus	pocillimanus	Bate	1862			Italy	Sicilia, latania						Küstenalgen				Collector56	Collector56				31.iii.2015
ZFMK Cr00057		Amphipoda	Gammaridae	Elasmopus	pocillimanus	Bate	1862			Italy	Sardinien						Algen				Collector57	Collector57				31.iii.2015
